customer_unique_id,number_of_orders,nb_of_canceled_status,nb_of_shipped_status,nb_of_processing_status,nb_of_invoiced_status,nb_of_sellers,total_price,total_nb_of_installments,total_spent,mean_review_score,nb_of_product_categories,mean_nb_of_photos,mean_product_volume_cm3,nb_of_inactive_months,order_frequency,nb_of_late_deliveries,nb_of_late_shipping,list_of_payment_methods_['boleto' 'credit_card'],list_of_payment_methods_['boleto'],list_of_payment_methods_['credit_card' 'boleto'],list_of_payment_methods_['credit_card' 'voucher'],list_of_payment_methods_['credit_card'],list_of_payment_methods_['debit_card'],list_of_payment_methods_['voucher' 'credit_card'],list_of_payment_methods_['voucher'],list_of_payment_methods_other,seller_states_list_['mg' 'sp'],seller_states_list_['mg'],seller_states_list_['pr' 'sp'],seller_states_list_['pr'],seller_states_list_['rj' 'sp'],seller_states_list_['sc' 'sp'],seller_states_list_['sp' 'mg'],seller_states_list_['sp' 'pr'],seller_states_list_['sp' 'sc'],seller_states_list_['sp'],seller_states_list_other,customer_state_ba,customer_state_ce,customer_state_df,customer_state_es,customer_state_go,customer_state_ma,customer_state_mg,customer_state_ms,customer_state_mt,customer_state_pa,customer_state_pe,customer_state_pr,customer_state_rj,customer_state_rs,customer_state_sc,customer_state_sp
013f4353d26bb05dc6652f1269458d8d,0.03705777419843196,-0.08846878473744017,-0.1329692272580548,-0.06695557088817639,-0.06171094082006288,0.24971488208165796,-0.043434455892734695,-0.05445144979100699,0.04483670191487308,0.759759350211704,-0.9821662594428795,-0.8312993101299978,-0.17270447977480022,0.29690621889374197,-0.3196352203313107,-0.36915130394208295,-0.3704094777218255,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
015557c9912277312b9073947804a7ba,-0.40394511543270106,-0.08846878473744017,-0.1329692272580548,-0.06695557088817639,-0.06171094082006288,0.24971488208165796,-0.006202765300868138,-0.48704634729961643,-0.16521315520789254,0.759759350211704,0.6875746013052997,-0.8312993101299978,0.8054035004043842,1.7675919456420237,-0.31963608650432696,-0.36915130394208295,0.8367886837624875,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0178b244a5c281fb2ade54038dd4b161,0.47806066382956497,-0.08846878473744017,-0.1329692272580548,-0.06695557088817639,-0.06171094082006288,1.7638423277691744,-0.23824211697417796,2.0220040582503187,0.10129060633274957,-0.7987196174096022,-0.9821662594428795,-0.4415671981059884,0.01609182703525058,-1.38387746881858,-0.319636139456136,-0.36915130394208295,-0.3704094777218255,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01886ef98f995e4f2dd75a1d04c97397,-0.40394511543270106,-0.08846878473744017,-0.1329692272580548,-0.06695557088817639,-0.06171094082006288,0.24971488208165796,-0.7183018075133066,-0.48704634729961643,-0.410559491171121,-1.0213594699269317,-0.9821662594428795,-0.4415671981059884,-0.6339039894289369,-0.3333876639983788,-0.31963612630724286,-0.36915130394208295,-0.3704094777218255,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
018b5a7502c30eb5f230f1b4eb23a156,-0.40394511543270106,-0.08846878473744017,4.353568934813723,-0.06695557088817639,-0.06171094082006288,-1.2644125636058585,-0.6074086490735318,-0.6600843063030603,-0.3748844703836735,-0.13080005985761378,-0.9821662594428795,-0.8312993101299978,-0.7993795923902703,1.137298062749903,-0.31963612445561246,1.208681691148668,0.8367886837624875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01a22e2079ea71e17313b88e5811e54a,0.03705777419843196,-0.08846878473744017,-0.1329692272580548,-0.06695557088817639,-0.06171094082006288,-1.2644125636058585,-0.42978484518833454,-0.5735653268013383,-0.20738477427467158,0.759759350211704,-0.9821662594428795,1.7669147700300651,-0.8033194876988735,-0.12328970303433855,-0.31950856812246886,-0.36915130394208295,-0.3704094777218255,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
01c289bb06354cdc7e6549570f20ada4,0.919063553460698,-0.08846878473744017,-0.1329692272580548,-0.06695557088817639,-0.06171094082006288,-1.2644125636058585,-0.1492010969356294,-0.2274894087944508,-0.06726286870975028,-0.13080005985761378,-0.9821662594428795,-0.5195136205107903,-0.7946517180199465,0.08680825792970172,-0.3196361205515583,-0.36915130394208295,-0.3704094777218255,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
01ea7dfdac01a4e8fbe2902b73510b20,0.03705777419843196,14.41030119394704,-0.1329692272580548,-0.06695557088817639,-0.06171094082006288,0.24971488208165796,0.03102892529099842,0.4646624272193244,0.015555970772437045,-1.6150657433064768,0.6875746013052997,1.7669147700300651,4.06588897021493,-0.12328970303433855,-0.2125093688427025,2.7865146862394186,2.0439868452468004,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
01f2285f85a1c603eb7ef755ad311769,-0.40394511543270106,-0.08846878473744017,-0.1329692272580548,-0.06695557088817639,-0.06171094082006288,0.24971488208165796,0.3893123478327298,0.29162446821588056,-0.013878223321479356,0.31447964517704513,-0.9821662594428795,-0.8312993101299978,-0.629268818477639,-0.9636815468904996,-0.31963614438733656,-0.36915130394208295,-0.3704094777218255,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
02168ea18740a0fdaaa15f11bebba5db,0.47806066382956497,-0.08846878473744017,-0.1329692272580548,-0.06695557088817639,-0.06171094082006288,-1.2644125636058585,-0.26481981610437194,-0.48704634729961643,0.052663312440367094,-1.0213594699269317,-0.9821662594428795,-0.8312993101299978,-0.5501812141211194,0.7171021408218224,-0.3196360515352261,2.7865146862394186,-0.3704094777218255,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
